epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,720.27,0.57659,0.73607,1.20944,0.98803,0.98416,0.99457,0.94164,0.36518,0.20266,0.87443,0.00073025,0.00073025,0.00073025
44,737.248,0.59043,0.74574,1.22371,0.99741,1,0.995,0.92352,0.42312,0.21513,0.93514,0.000717875,0.000717875,0.000717875
45,753.763,0.57595,0.728,1.21216,0.99768,1,0.995,0.94306,0.39853,0.20438,0.89632,0.0007055,0.0007055,0.0007055
46,770.044,0.58336,0.72709,1.21297,0.99706,1,0.995,0.93981,0.41512,0.20717,0.90802,0.000693125,0.000693125,0.000693125
47,786.253,0.5713,0.71949,1.21067,0.99761,0.99526,0.995,0.934,0.41293,0.21933,0.90585,0.00068075,0.00068075,0.00068075
48,802.51,0.56584,0.71096,1.20507,0.99415,0.98924,0.995,0.9056,0.49128,0.22975,1.00422,0.000668375,0.000668375,0.000668375
49,818.682,0.56244,0.70217,1.20736,0.99829,0.99693,0.995,0.92924,0.41895,0.19888,0.90375,0.000656,0.000656,0.000656
50,834.979,0.55559,0.70385,1.19832,0.99674,0.99427,0.995,0.93308,0.39515,0.20042,0.901,0.000643625,0.000643625,0.000643625
51,851.169,0.56115,0.70825,1.19933,0.99828,0.99414,0.995,0.9264,0.40074,0.19993,0.88852,0.00063125,0.00063125,0.00063125
52,867.353,0.55874,0.7068,1.19804,0.99115,0.99126,0.99495,0.94254,0.35842,0.19436,0.84814,0.000618875,0.000618875,0.000618875
53,883.538,0.55246,0.7038,1.19347,0.99541,0.99883,0.995,0.9063,0.45189,0.20202,0.93595,0.0006065,0.0006065,0.0006065
54,899.737,0.5453,0.71477,1.18716,0.99599,0.99675,0.995,0.91772,0.44598,0.20327,0.92688,0.000594125,0.000594125,0.000594125
55,915.892,0.54533,0.68954,1.19,0.99608,1,0.995,0.92602,0.44789,0.21915,0.9338,0.00058175,0.00058175,0.00058175
