epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1530.92,0.83659,0.59757,1.22823,0.95317,0.95389,0.97468,0.77149,0.93766,0.40626,1.36437,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,1580.97,0.8342,0.59207,1.21875,0.95509,0.95064,0.96804,0.76032,0.94091,0.40557,1.37173,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,1631.55,0.83066,0.59211,1.22397,0.96551,0.95373,0.98088,0.77746,0.9321,0.40171,1.35771,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,1681.26,0.83498,0.5861,1.22323,0.96498,0.95361,0.97835,0.77256,0.93795,0.39527,1.36588,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,1732.23,0.8257,0.57904,1.22329,0.96458,0.94587,0.97216,0.76853,0.94203,0.40451,1.36788,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,1782.07,0.83029,0.58597,1.222,0.9701,0.9586,0.98565,0.78309,0.92273,0.39033,1.35103,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,1832.79,0.8265,0.57461,1.22078,0.96937,0.97354,0.98592,0.78218,0.93967,0.38322,1.36241,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,1882.78,0.8168,0.56899,1.21502,0.97139,0.97691,0.98436,0.78142,0.93187,0.38281,1.35645,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,1932.36,0.82281,0.56433,1.21289,0.94737,0.98651,0.98541,0.78358,0.92542,0.38573,1.34861,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,1983.44,0.82029,0.5695,1.2153,0.94388,0.97381,0.98256,0.7826,0.92277,0.38555,1.34615,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,2033.09,0.81967,0.56412,1.2146,0.94453,0.96682,0.97815,0.77759,0.93047,0.39325,1.3541,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,2083.93,0.80747,0.55379,1.20741,0.96802,0.9465,0.97919,0.77781,0.92118,0.38806,1.34689,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,2133.73,0.8129,0.55356,1.2082,0.96273,0.96179,0.97909,0.78543,0.93096,0.39361,1.35714,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,2184.15,0.8064,0.54471,1.20483,0.96506,0.97065,0.98176,0.78315,0.93727,0.3877,1.36213,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,2234.53,0.80907,0.55733,1.20628,0.94896,0.98269,0.98374,0.78433,0.9345,0.38223,1.36203,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,2284.28,0.81047,0.54573,1.20558,0.93736,0.97222,0.97935,0.78019,0.93409,0.39055,1.35524,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,2335.38,0.80032,0.54137,1.20075,0.96037,0.97824,0.98405,0.7861,0.92801,0.38413,1.34892,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,2386.13,0.80075,0.53538,1.20333,0.94169,0.98123,0.98225,0.78497,0.92521,0.3819,1.34238,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
48,2438.12,0.80162,0.53955,1.20026,0.96967,0.95155,0.97938,0.78285,0.92409,0.37953,1.34762,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,2488.68,0.79583,0.53862,1.20286,0.96876,0.98116,0.98592,0.78943,0.9211,0.37448,1.34703,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,2539.66,0.79761,0.53312,1.19808,0.96415,0.98413,0.98623,0.78846,0.9294,0.37089,1.35094,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
